# SUBTLEX-US word frequencies — the 20,000 most frequent surface forms.
#
# Brysbaert, M., & New, B. (2009). Moving beyond Kučera and Francis: A critical
# evaluation of current word frequency norms and the introduction of a new and
# improved word frequency measure for American English. Behavior Research
# Methods, 41(4), 977–990. https://doi.org/10.3758/BRM.41.4.977
#
# Corpus: 51 million words of American English film and television subtitles.
# Obtained through the ISC-licensed repackaging words/subtlex-word-frequencies
# (github.com/words/subtlex-word-frequencies, commit 1b16b4c, 2020-02-13), which
# keeps the Word and FREQcount columns of SUBTLEXus74286wordstextversion.txt.
# The authors permit redistribution of SUBTLEX-US for any purpose. This file is
# that list sorted by count, truncated to the first 20,000 rows, on 2026-09-12.
#
# Columns: rank, word, count. A word is capitalized when the corpus more often
# capitalizes it than not ("I", "Mr", "Congratulations"). Contraction fragments
# ("s", "t", "don") are present because the source splits on apostrophes.
# Surface forms, not lemmas. Generated — do not edit by hand.
477	dinner	10336
478	quite	10332
479	against	10288
480	fight	10255
481	side	10247
482	six	10176
483	half	10156
484	pick	10118
485	question	10116
486	ahead	10115
487	Michael	10115
488	cool	9990
489	women	9978
490	body	9972
491	high	9945
492	husband	9935
493	John	9877
494	reason	9858
495	almost	9857
496	dog	9835
497	buy	9814
498	truth	9801
499	met	9758
500	telling	9730
501	hot	9682
502	O	9598
503	anymore	9597
504	behind	9581
505	started	9566
506	speak	9546
507	bed	9543
508	moment	9539
509	tried	9529
510	blood	9492
511	ma	9476
512	shall	9441
513	Daddy	9439
514	stupid	9405
515	along	9330
516	either	9308
517	though	9279
518	front	9259
519	sister	9207
520	Bye	9184
521	send	9169
522	welcome	9140
523	sometimes	9129
524	trust	9087
525	free	9054
526	book	9026
527	answer	8986
528	between	8932
529	children	8930
530	war	8912
531	Hurry	8856
532	fact	8801
533	brought	8786
534	clear	8763
535	bet	8763
536	its	8757
537	white	8744
538	glad	8740
539	daughter	8739
540	outside	8671
541	city	8624
542	bitch	8609
543	feeling	8577
544	black	8565
545	seems	8545
546	full	8512
547	till	8503
548	sick	8437
549	light	8425
550	shoot	8412
551	news	8399
552	lose	8382
553	wonderful	8364
554	months	8314
555	save	8278
556	hour	8277
557	country	8254
558	Jesus	8220
559	needs	8198
560	Wow	8160
561	able	8155
562	Frank	8129
563	perfect	8091
564	shouldn	8083
565	running	8054
566	child	8040
567	Whoa	8023
568	died	8018
569	order	7985
570	living	7983
571	sounds	7970
572	alive	7878
573	food	7876
574	gentlemen	7874
575	luck	7840
576	hair	7831
577	drive	7810
578	promise	7809
579	sex	7761
580	music	7734
581	ya	7664
582	power	7600
583	sort	7584
584	special	7577
585	serious	7566
586	street	7557
587	red	7551
588	dance	7550
589	hang	7535
590	touch	7534
591	team	7528
592	playing	7515
593	company	7507
594	George	7474
595	pull	7469
596	plan	7432
